478147	3	30	Brown (6 Suits)	2021-03-23 — 18:22:02 UTC	asaelr, scharkbite, Valetta6789	9	6	30
478136	3	30	Brown (6 Suits)	2021-03-23 — 18:08:26 UTC	asaelr, scharkbite, Valetta6789	9	6	30
478125	3	29	Brown (6 Suits)	2021-03-23 — 17:54:31 UTC	asaelr, scharkbite, Valetta6789	9	6	30
478113	3	30	Brown (6 Suits)	2021-03-23 — 17:39:00 UTC	asaelr, scharkbite, Valetta6789	12	6	30
472421	3	28	Muddy Rainbow & Dark Brown (6 Suits)	2021-03-18 — 16:35:20 UTC	Lel0uch, melwen, scharkbite	1	6	30
472408	3	0	Muddy Rainbow & Dark Brown (6 Suits)	2021-03-18 — 16:11:58 UTC	Lel0uch, melwen, scharkbite	2	6	30
472403	3	0	Muddy Rainbow & Dark Brown (6 Suits)	2021-03-18 — 15:55:30 UTC	Lel0uch, melwen, scharkbite	2	6	30
472236	4	29	Dual-Color & Light Pink (6 Suits)	2021-03-18 — 04:59:41 UTC	indego, Lel0uch, melwen, scharkbite	2	6	30
472223	4	0	Brown & Light Pink (6 Suits)	2021-03-18 — 04:41:13 UTC	indego, Lel0uch, melwen, scharkbite	2	6	30
472216	3	29	Brown & Light Pink (6 Suits)	2021-03-18 — 04:34:24 UTC	Lel0uch, melwen, scharkbite	4	6	30
472198	3	30	Black & Omni (6 Suits)	2021-03-18 — 04:13:52 UTC	Lel0uch, melwen, scharkbite	1	6	30
472183	3	0	Black & Omni (6 Suits)	2021-03-18 — 03:56:33 UTC	Lel0uch, melwen, scharkbite	1	6	30
472172	3	0	Black & Omni (6 Suits)	2021-03-18 — 03:41:12 UTC	Lel0uch, melwen, scharkbite	1	6	30
472140	4	30	White & Gray Pink (6 Suits)	2021-03-18 — 03:17:59 UTC	Lel0uch, MangoPie, melwen, scharkbite	1	6	30
470947	4	30	Pink & Gray Pink (6 Suits)	2021-03-17 — 04:09:52 UTC	Lel0uch, melwen, qqqq, scharkbite	2	6	30
470933	4	28	Pink & Gray Pink (6 Suits)	2021-03-17 — 03:51:45 UTC	Lel0uch, melwen, qqqq, scharkbite	2	6	30
470902	4	27	Pink & Gray Pink (6 Suits)	2021-03-17 — 03:24:12 UTC	Lel0uch, melwen, qqqq, scharkbite	3	6	30
470857	4	0	Pink & Gray Pink (6 Suits)	2021-03-17 — 02:57:40 UTC	Lel0uch, melwen, qqqq, scharkbite	3	6	30
470834	4	0	Pink & Gray Pink (6 Suits)	2021-03-17 — 02:39:19 UTC	Lel0uch, melwen, qqqq, scharkbite	3	6	30
470812	4	29	Pink & Gray Pink (6 Suits)	2021-03-17 — 02:22:19 UTC	melwen, rz, scharkbite, wump	3	6	30
470790	5	21	Omni-Ones & Dark Null (5 Suits)	2021-03-17 — 01:47:10 UTC	melwen, newduke, rz, scharkbite, wump	1	5	25
470731	4	0	Omni-Ones & Dark Null (5 Suits)	2021-03-17 — 01:14:31 UTC	newduke, rz, scharkbite, wump	1	5	25
467205	3	30	Up or Down & Rainbow (6 Suits)	2021-03-13 — 23:25:01 UTC	indego, kopen, scharkbite	6	6	30
467161	4	25	Ambiguous & Brown (5 Suits)	2021-03-13 — 22:56:14 UTC	derekcheah, Floriman, indego, scharkbite	3	5	25
467126	5	0	Ambiguous & Brown (5 Suits)	2021-03-13 — 22:37:53 UTC	derekcheah, Floriman, indego, scharkbite, TimeHoodie	1	5	25
461075	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 04:14:39 UTC	scharkbite, StKildaFan	7	6	30
461068	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 04:10:11 UTC	scharkbite, StKildaFan	7	6	30
461057	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 04:04:57 UTC	scharkbite, StKildaFan	12	6	30
461050	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 04:00:19 UTC	scharkbite, StKildaFan	16	6	30
461042	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 03:56:54 UTC	scharkbite, StKildaFan	17	6	30
461038	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 03:52:03 UTC	scharkbite, StKildaFan	18	6	30
461030	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 03:47:12 UTC	scharkbite, StKildaFan	18	6	30
461023	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 03:43:56 UTC	scharkbite, StKildaFan	18	6	30
461016	2	28	Black & Dark Rainbow (6 Suits)	2021-03-08 — 03:34:56 UTC	scharkbite, StKildaFan	16	6	30
461010	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 03:27:43 UTC	scharkbite, StKildaFan	17	6	30
461004	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 03:22:56 UTC	scharkbite, StKildaFan	17	6	30
461001	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 03:20:16 UTC	scharkbite, StKildaFan	20	6	30
460998	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 03:17:43 UTC	scharkbite, StKildaFan	19	6	30
460996	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 03:14:21 UTC	scharkbite, StKildaFan	19	6	30
460991	2	29	Black & Dark Rainbow (6 Suits)	2021-03-08 — 03:06:28 UTC	scharkbite, StKildaFan	20	6	30
460977	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 02:55:19 UTC	scharkbite, StKildaFan	21	6	30
460970	2	23	Black & Dark Rainbow (6 Suits)	2021-03-08 — 02:50:25 UTC	scharkbite, StKildaFan	21	6	30
460955	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 02:40:51 UTC	scharkbite, StKildaFan	21	6	30
460947	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 02:33:44 UTC	scharkbite, StKildaFan	22	6	30
460934	2	27	Black & Dark Rainbow (6 Suits)	2021-03-08 — 02:22:37 UTC	scharkbite, StKildaFan	29	6	30
460925	2	0	Black & Dark Rainbow (6 Suits)	2021-03-08 — 02:15:50 UTC	scharkbite, StKildaFan	32	6	30
460920	2	25	Black & Muddy Rainbow (5 Suits)	2021-03-08 — 02:06:34 UTC	scharkbite, StKildaFan	7	5	25
460915	2	0	Black & Muddy Rainbow (5 Suits)	2021-03-08 — 02:00:26 UTC	scharkbite, StKildaFan	7	5	25
460910	2	0	Black & Muddy Rainbow (5 Suits)	2021-03-08 — 01:57:25 UTC	scharkbite, StKildaFan	7	5	25
460889	2	22	Black & Muddy Rainbow (5 Suits)	2021-03-08 — 01:46:06 UTC	scharkbite, StKildaFan	7	5	25
460288	4	29	Throw It in a Hole (6 Suits)	2021-03-07 — 18:58:51 UTC	asaelr, Floriman, scharkbite, Valetta6789	6	6	30
460254	4	30	Throw It in a Hole (6 Suits)	2021-03-07 — 18:19:49 UTC	asaelr, Floriman, scharkbite, Valetta6789	7	6	30
460224	4	30	Throw It in a Hole (6 Suits)	2021-03-07 — 17:47:52 UTC	asaelr, Floriman, scharkbite, Valetta6789	7	6	30
460200	4	30	Throw It in a Hole (6 Suits)	2021-03-07 — 17:19:23 UTC	asaelr, Floriman, scharkbite, Valetta6789	12	6	30
460175	4	30	Throw It in a Hole (6 Suits)	2021-03-07 — 16:44:29 UTC	asaelr, Floriman, scharkbite, Valetta6789	3	6	30
460157	4	30	Throw It in a Hole (6 Suits)	2021-03-07 — 16:10:39 UTC	asaelr, Floriman, scharkbite, Valetta6789	3	6	30
456844	6	27	Pink & Dark Omni (6 Suits)	2021-03-04 — 23:28:28 UTC	ChristopheAF, dobi, lolthisnotderk, MarkusKahlsen, melwen, scharkbite	1	6	30
456821	4	24	Brown & Omni (5 Suits)	2021-03-04 — 23:02:58 UTC	ChristopheAF, MarkusKahlsen, melwen, scharkbite	4	5	25
455601	5	18	Prism (4 Suits)	2021-03-03 — 21:38:27 UTC	jeff10, knaphill, MangoPie, newduke, scharkbite	7	4	20
455583	5	17	Prism (4 Suits)	2021-03-03 — 21:17:41 UTC	jeff10, knaphill, MangoPie, newduke, scharkbite	7	4	20
455570	5	0	Muddy-Rainbow-Ones & Black (5 Suits)	2021-03-03 — 20:58:17 UTC	dobi, jeff10, MangoPie, newduke, scharkbite	2	5	25
453748	4	22	Special Mix (5 Suits)	2021-03-02 — 02:38:36 UTC	ChristopheAF, jeff10, padi, scharkbite	4	5	25
453734	4	0	Special Mix (5 Suits)	2021-03-02 — 02:20:46 UTC	ChristopheAF, jeff10, padi, scharkbite	4	5	25
453523	5	0	Special Mix (5 Suits)	2021-03-01 — 23:02:44 UTC	ChristopheAF, dobi, Floriman, Lanvin, scharkbite	3	5	25
453510	5	0	Special Mix (5 Suits)	2021-03-01 — 22:52:34 UTC	ChristopheAF, dobi, Floriman, Lanvin, scharkbite	3	5	25
453498	4	0	Special Mix (5 Suits)	2021-03-01 — 22:43:53 UTC	ChristopheAF, Floriman, Lanvin, scharkbite	4	5	25
453480	3	0	Special Mix (5 Suits)	2021-03-01 — 22:34:12 UTC	ChristopheAF, Lanvin, scharkbite	1	5	25
453474	3	0	Special Mix (5 Suits)	2021-03-01 — 22:28:54 UTC	ChristopheAF, Lanvin, scharkbite	1	5	25
453460	4	0	Brown-Ones & Black (6 Suits)	2021-03-01 — 22:17:56 UTC	ChristopheAF, IsabeltheCat, Lanvin, scharkbite	2	6	30
453451	4	0	Brown-Ones & Black (6 Suits)	2021-03-01 — 22:07:15 UTC	ChristopheAF, IsabeltheCat, Lanvin, scharkbite	2	6	30
453434	6	22	Black (5 Suits)	2021-03-01 — 21:47:02 UTC	ChristopheAF, Lanvin, MangoPie, scharkbite, will.i.am, Wittvector	9	5	25
452861	4	0	Rainbow & Gray (5 Suits)	2021-03-01 — 05:25:17 UTC	kopen, newduke, pianoblook, scharkbite	2	5	25
452850	4	0	Rainbow & Gray (5 Suits)	2021-03-01 — 05:09:16 UTC	kopen, newduke, pianoblook, scharkbite	2	5	25
452830	4	23	Rainbow & Gray (5 Suits)	2021-03-01 — 04:47:52 UTC	kopen, newduke, pianoblook, scharkbite	2	5	25
452795	4	0	Rainbow & Gray (5 Suits)	2021-03-01 — 04:25:45 UTC	kopen, newduke, pianoblook, scharkbite	2	5	25
452780	4	0	Rainbow & Gray (5 Suits)	2021-03-01 — 04:15:10 UTC	kopen, newduke, pianoblook, scharkbite	2	5	25
452761	4	21	Rainbow & Gray (5 Suits)	2021-03-01 — 03:57:22 UTC	kopen, newduke, pianoblook, scharkbite	4	5	25
452733	4	25	Pink & Light Pink (5 Suits)	2021-03-01 — 03:36:48 UTC	kopen, melwen, newduke, scharkbite	1	5	25
452711	4	0	Pink & Light Pink (5 Suits)	2021-03-01 — 03:13:33 UTC	Bonja97, melwen, newduke, scharkbite	1	5	25
452676	4	23	Pink & Light Pink (5 Suits)	2021-03-01 — 02:51:51 UTC	Bonja97, melwen, newduke, scharkbite	1	5	25
452654	4	0	Pink & Light Pink (5 Suits)	2021-03-01 — 02:31:39 UTC	Bonja97, melwen, newduke, scharkbite	1	5	25
452624	4	0	Pink & Light Pink (5 Suits)	2021-03-01 — 02:14:58 UTC	Bonja97, melwen, newduke, scharkbite	2	5	25
